Year,month,value,var,district
1894,3,11.6,Tmax,East_Anglia
1895,3,9.8,Tmax,East_Anglia
1896,3,10.9,Tmax,East_Anglia
1897,3,10.6,Tmax,East_Anglia
1898,3,8.3,Tmax,East_Anglia
1899,3,9.8,Tmax,East_Anglia
1900,3,7.0,Tmax,East_Anglia
1901,3,7.0,Tmax,East_Anglia
1902,3,10.8,Tmax,East_Anglia
1903,3,11.4,Tmax,East_Anglia
1904,3,8.0,Tmax,East_Anglia
1905,3,10.8,Tmax,East_Anglia
1906,3,8.8,Tmax,East_Anglia
1907,3,11.3,Tmax,East_Anglia
1908,3,7.8,Tmax,East_Anglia
1909,3,6.7,Tmax,East_Anglia
1910,3,10.1,Tmax,East_Anglia
1911,3,8.2,Tmax,East_Anglia
1912,3,10.9,Tmax,East_Anglia
1913,3,10.3,Tmax,East_Anglia
1914,3,9.9,Tmax,East_Anglia
1915,3,8.8,Tmax,East_Anglia
1916,3,6.6,Tmax,East_Anglia
1917,3,6.4,Tmax,East_Anglia
1918,3,10.4,Tmax,East_Anglia
1919,3,7.2,Tmax,East_Anglia
1920,3,12.0,Tmax,East_Anglia
1921,3,11.9,Tmax,East_Anglia
1922,3,7.9,Tmax,East_Anglia
1923,3,9.8,Tmax,East_Anglia
1924,3,8.5,Tmax,East_Anglia
1925,3,8.1,Tmax,East_Anglia
1926,3,10.4,Tmax,East_Anglia
1927,3,11.1,Tmax,East_Anglia
1928,3,9.8,Tmax,East_Anglia
1929,3,11.6,Tmax,East_Anglia
1930,3,9.6,Tmax,East_Anglia
1931,3,8.0,Tmax,East_Anglia
1932,3,8.8,Tmax,East_Anglia
1933,3,12.2,Tmax,East_Anglia
1934,3,8.8,Tmax,East_Anglia
1935,3,10.4,Tmax,East_Anglia
1936,3,10.4,Tmax,East_Anglia
1937,3,7.1,Tmax,East_Anglia
1938,3,14.8,Tmax,East_Anglia
1939,3,9.0,Tmax,East_Anglia
1940,3,10.0,Tmax,East_Anglia
1941,3,8.8,Tmax,East_Anglia
1942,3,8.1,Tmax,East_Anglia
1943,3,11.4,Tmax,East_Anglia
1944,3,9.1,Tmax,East_Anglia
1945,3,12.7,Tmax,East_Anglia
1946,3,9.0,Tmax,East_Anglia
1947,3,7.1,Tmax,East_Anglia
1948,3,13.0,Tmax,East_Anglia
1949,3,8.2,Tmax,East_Anglia
1950,3,11.7,Tmax,East_Anglia
1951,3,7.8,Tmax,East_Anglia
1952,3,9.6,Tmax,East_Anglia
1953,3,10.1,Tmax,East_Anglia
1954,3,9.3,Tmax,East_Anglia
1955,3,6.9,Tmax,East_Anglia
1956,3,9.8,Tmax,East_Anglia
1957,3,12.7,Tmax,East_Anglia
1958,3,6.9,Tmax,East_Anglia
1959,3,11.0,Tmax,East_Anglia
1960,3,8.9,Tmax,East_Anglia
1961,3,13.2,Tmax,East_Anglia
1962,3,6.4,Tmax,East_Anglia
1963,3,9.4,Tmax,East_Anglia
1964,3,6.1,Tmax,East_Anglia
1965,3,9.3,Tmax,East_Anglia
1966,3,10.2,Tmax,East_Anglia
1967,3,11.3,Tmax,East_Anglia
1968,3,10.6,Tmax,East_Anglia
1969,3,6.2,Tmax,East_Anglia
1970,3,6.9,Tmax,East_Anglia
1971,3,8.2,Tmax,East_Anglia
1972,3,11.2,Tmax,East_Anglia
1973,3,10.8,Tmax,East_Anglia
1974,3,9.2,Tmax,East_Anglia
1975,3,7.4,Tmax,East_Anglia
1976,3,8.1,Tmax,East_Anglia
1977,3,10.4,Tmax,East_Anglia
1978,3,10.7,Tmax,East_Anglia
1979,3,8.2,Tmax,East_Anglia
1980,3,8.2,Tmax,East_Anglia
1981,3,10.9,Tmax,East_Anglia
1982,3,10.1,Tmax,East_Anglia
1983,3,10.1,Tmax,East_Anglia
1984,3,7.7,Tmax,East_Anglia
1985,3,8.3,Tmax,East_Anglia
1986,3,9.0,Tmax,East_Anglia
